rank,stock_name,stock_code,score,sector,signal,memo
1,TIGER 미국배당다우존스,,87,AI/소프트웨어,543750,6회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰. 오늘 TOP5권이라 우선순위 높음.
2,RISE 200위클리커버드콜,,75,AI/소프트웨어,468750,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
3,한켐,,87,화학,543750,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
4,라이콤,,72,반도체/전자부품,450000,4회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰. 오늘 TOP5권이라 우선순위 높음.
5,TIGER 미국S&P500,,63,AI/소프트웨어,393750,6회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰. 오늘 TOP5권이라 우선순위 높음.
6,KODEX 미국S&P500,,62,AI/소프트웨어,387500,6회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰.
7,KODEX 미국나스닥100,,69,AI/소프트웨어,431250,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
8,KODEX 200타겟위클리커버드콜,,61,AI/소프트웨어,381250,6회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰.
9,TIGER 배당커버드콜액티브,,58,AI/소프트웨어,362500,6회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰.
10,SK네트웍스,,61,도매,381250,4회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰.
11,TIGER 미국나스닥100타겟데일리커버드콜,,59,AI/소프트웨어,368750,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
12,디아이씨,,57,자동차/부품,356250,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
13,대원제약,,49,제약/바이오,306250,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
14,LG유플러스,,55,통신,343750,6회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰.
15,알트,,62,반도체/전자부품,387500,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
