종목명,종목코드,TP전략,SL전략,TP전략내용,SL전략내용,백테스트시작일,백테스트종료일,수익률,MDD,승률,거래횟수,품질점수,백테스트신뢰도점수,백테스트신뢰도,백테스트검증해석,백테스트주의메모,실전비용반영,매수비용률,매도비용률,슬리피지률
PS일렉트로닉스,332570,[초단타],[칼손절],+3%▶70% 익절 / +5%▶20% 익절 / +10%▶10% 익절,-2%▶80% 손절 / -4%▶10% 손절 / -6%▶10% 손절,2026-01-02,2026-06-12,-1.14,-6.95,66.7,3,6.88,48,D,단독 사용 비권장,거래횟수 매우 부족 / MDD 안정 / 수익률 음수,예,0.0005,0.0025,0.0007
PS일렉트로닉스,332570,[초단타],[정석방어],+3%▶70% 익절 / +5%▶20% 익절 / +10%▶10% 익절,-3%▶70% 손절 / -5%▶20% 손절 / -10%▶10% 손절,2026-01-02,2026-06-12,26.03,-6.95,100,2,38.56,67,B,참고 가능하나 추가 검증 필요,거래횟수 매우 부족 / MDD 안정,예,0.0005,0.0025,0.0007
PS일렉트로닉스,332570,[초단타],[변동성허용],+3%▶70% 익절 / +5%▶20% 익절 / +10%▶10% 익절,-5%▶50% 손절 / -10%▶30% 손절 / -15%▶20% 손절,2026-01-02,2026-06-12,26.03,-6.95,100,2,38.56,67,B,참고 가능하나 추가 검증 필요,거래횟수 매우 부족 / MDD 안정,예,0.0005,0.0025,0.0007
PS일렉트로닉스,332570,[초단타],[버티기형],+3%▶70% 익절 / +5%▶20% 익절 / +10%▶10% 익절,-5%▶40% 손절 / -15%▶30% 손절 / -20%▶30% 손절,2026-01-02,2026-06-12,26.03,-6.95,100,2,38.56,67,B,참고 가능하나 추가 검증 필요,거래횟수 매우 부족 / MDD 안정,예,0.0005,0.0025,0.0007
PS일렉트로닉스,332570,[단기스윙],[칼손절],+5%▶60% 익절 / +10%▶30% 익절 / +20%▶10% 익절,-2%▶80% 손절 / -4%▶10% 손절 / -6%▶10% 손절,2026-01-02,2026-06-12,21.34,-3.49,75,4,32.85,66,B,참고 가능하나 추가 검증 필요,거래횟수 매우 부족 / MDD 안정,예,0.0005,0.0025,0.0007
PS일렉트로닉스,332570,[단기스윙],[정석방어],+5%▶60% 익절 / +10%▶30% 익절 / +20%▶10% 익절,-3%▶70% 손절 / -5%▶20% 손절 / -10%▶10% 손절,2026-01-02,2026-06-12,15.34,-3.49,100,2,29.6,64,C,최근 적합성 참고 수준,거래횟수 매우 부족 / MDD 안정,예,0.0005,0.0025,0.0007
PS일렉트로닉스,332570,[단기스윙],[변동성허용],+5%▶60% 익절 / +10%▶30% 익절 / +20%▶10% 익절,-5%▶50% 손절 / -10%▶30% 손절 / -15%▶20% 손절,2026-01-02,2026-06-12,15.34,-3.49,100,2,29.6,64,C,최근 적합성 참고 수준,거래횟수 매우 부족 / MDD 안정,예,0.0005,0.0025,0.0007
PS일렉트로닉스,332570,[단기스윙],[버티기형],+5%▶60% 익절 / +10%▶30% 익절 / +20%▶10% 익절,-5%▶40% 손절 / -15%▶30% 손절 / -20%▶30% 손절,2026-01-02,2026-06-12,15.34,-3.49,100,2,29.6,64,C,최근 적합성 참고 수준,거래횟수 매우 부족 / MDD 안정,예,0.0005,0.0025,0.0007
PS일렉트로닉스,332570,[대표님룰],[칼손절],+5%▶60% 익절 / +10%▶30% 익절 / +30%▶10% 익절,-2%▶80% 손절 / -4%▶10% 손절 / -6%▶10% 손절,2026-01-02,2026-06-12,21.34,-3.49,75,4,32.85,66,B,참고 가능하나 추가 검증 필요,거래횟수 매우 부족 / MDD 안정,예,0.0005,0.0025,0.0007
PS일렉트로닉스,332570,[대표님룰],[정석방어],+5%▶60% 익절 / +10%▶30% 익절 / +30%▶10% 익절,-3%▶70% 손절 / -5%▶20% 손절 / -10%▶10% 손절,2026-01-02,2026-06-12,15.34,-3.49,100,2,29.6,64,C,최근 적합성 참고 수준,거래횟수 매우 부족 / MDD 안정,예,0.0005,0.0025,0.0007
