순위,종목명,시장,섹터/분야,후보출처,현재가,기본점수,실전점수,과열판정,과열사유,진입판정,백테스트신뢰도,익절계획,손절계획,추세,재무,추천투입금액,상세전략가이드,연속추천일수,최근7회추천횟수,반복추천등급,반복추천메모
1,ACE 미국우주테크액티브,KOSPI/KOSDAQ,금융,NAVER,27350,100,100,정상,,조건 확인 후 진입,D,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",안정형 통과,정상,625000,"후보출처 NAVER, 분야 금융, 점수 100점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",7,7,🔥 강한 지속 후보,7회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰. 오늘 TOP5권이라 우선순위 높음.
2,KODEX 건설,KOSPI/KOSDAQ,AI/소프트웨어,NAVER,8280,88,88,정상,,조건 확인 후 진입,D,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",공격형 통과,확인필요,550000,"후보출처 NAVER, 분야 AI/소프트웨어, 점수 88점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",1,1,신규/단발 후보,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
3,TIGER 200 건설,KOSPI/KOSDAQ,AI/소프트웨어,NAVER,9790,84,84,정상,,조건 확인 후 진입,D,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",공격형 통과,확인필요,525000,"후보출처 NAVER, 분야 AI/소프트웨어, 점수 84점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",1,1,신규/단발 후보,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
4,후성,KOSPI/KOSDAQ,화학,NAVER,19890,91,83,정상,고변동성 ATR 10.4%,조건 확인 후 진입,B,"+5% / +10% / +30%
(60%) / (30%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",안정형 통과,정상,568750,"[과열 체크] 고변동성 ATR 10.4%. 추격매수보다 눌림·재돌파 확인 우선.
후보출처 NAVER, 분야 화학, 점수 91점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",3,6,⭐ 연속 주목 후보,3회 연속 추천. 신규 진입보다 눌림/조건 확인 후 접근. 오늘 TOP5권이라 우선순위 높음.
5,희림,KOSPI/KOSDAQ,건축/엔지니어링,NAVER,5420,90,82,정상,고변동성 ATR 11.2%,조건 확인 후 진입,B,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-5% / -10% / -15%
(50%) / (30%) / (20%)",공격형 통과,정상,562500,"[과열 체크] 고변동성 ATR 11.2%. 추격매수보다 눌림·재돌파 확인 우선.
후보출처 NAVER, 분야 건축/엔지니어링, 점수 90점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",1,1,신규/단발 후보,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
6,한화생명,KOSPI/KOSDAQ,보험,NAVER,5460,82,82,정상,,조건 확인 후 진입,D,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",안정형 통과,재무주의,512499,"후보출처 NAVER, 분야 보험, 점수 82점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",1,1,신규/단발 후보,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
7,SOL 반도체전공정,KOSPI/KOSDAQ,반도체,NAVER,28475,88,80,정상,고변동성 ATR 10.2%,조건 확인 후 진입,D,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",안정형 통과,확인필요,550000,"[과열 체크] 고변동성 ATR 10.2%. 추격매수보다 눌림·재돌파 확인 우선.
후보출처 NAVER, 분야 반도체, 점수 88점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",1,4,🔁 반복 등장 후보,최근 7회 리포트 중 4회 등장. 관심 목록에 올려 추적.
8,대한항공,KOSPI/KOSDAQ,항공운송,NAVER,29450,76,76,정상,,조건 확인 후 진입,D,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",안정형 통과,재무주의,475000,"후보출처 NAVER, 분야 항공운송, 점수 76점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",1,1,신규/단발 후보,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
9,아비코전자,KOSPI/KOSDAQ,반도체/전자부품,NAVER,12620,78,70,정상,고변동성 ATR 12.8%,조건 확인 후 진입,D,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",안정형 통과,정상,487500,"[과열 체크] 고변동성 ATR 12.8%. 추격매수보다 눌림·재돌파 확인 우선.
후보출처 NAVER, 분야 반도체/전자부품, 점수 78점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",1,1,신규/단발 후보,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
10,KODEX 금융고배당TOP10타겟위클리커버드콜,KOSPI/KOSDAQ,AI/소프트웨어,NAVER,12610,78,70,정상,백테스트 거래횟수 부족(3회),조건 확인 후 진입,C,"+10% / +20% / +30%
(50%) / (30%) / (20%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",공격형 통과,확인필요,487500,"[과열 체크] 백테스트 거래횟수 부족(3회). 추격매수보다 눌림·재돌파 확인 우선.
후보출처 NAVER, 분야 AI/소프트웨어, 점수 78점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",1,1,신규/단발 후보,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
